id,value
Application#builds [0⋯n]#report#software_composition_analysis#vulnerable_components#component [0⋯n]#licenses, <class 'veracode.SDK.core.Struct'>
Application#builds [0⋯n]#report#software_composition_analysis#vulnerable_components#component [0⋯n]#licenses#license [0⋯n], <class 'list'>
Application#builds [0⋯n]#report#software_composition_analysis#vulnerable_components#component [0⋯n]#licenses#license [0⋯n]#license_url, <class 'str'>
Application#builds [0⋯n]#report#software_composition_analysis#vulnerable_components#component [0⋯n]#licenses#license [0⋯n]#name, <class 'str'>
Application#builds [0⋯n]#report#software_composition_analysis#vulnerable_components#component [0⋯n]#licenses#license [0⋯n]#risk_rating, <class 'int'>
Application#builds [0⋯n]#report#software_composition_analysis#vulnerable_components#component [0⋯n]#licenses#license [0⋯n]#spdx_id, <class 'str'>
Application#builds [0⋯n]#report#software_composition_analysis#vulnerable_components#component [0⋯n]#max_cvss_score, <class 'str'>
Application#builds [0⋯n]#report#software_composition_analysis#vulnerable_components#component [0⋯n]#sha1, <class 'str'>
Application#builds [0⋯n]#report#software_composition_analysis#vulnerable_components#component [0⋯n]#vendor, <class 'str'>
Application#builds [0⋯n]#report#software_composition_analysis#vulnerable_components#component [0⋯n]#version, <class 'datetime.date'>
Application#builds [0⋯n]#report#software_composition_analysis#vulnerable_components#component [0⋯n]#violated_policy_rules, <class 'NoneType'>
Application#builds [0⋯n]#report#software_composition_analysis#vulnerable_components#component [0⋯n]#vulnerabilities [0⋯n], <class 'list'>
Application#builds [0⋯n]#report#static_analysis, <class 'veracode.SDK.core.Struct'>
Application#builds [0⋯n]#report#static_analysis#analysis_size_bytes, <class 'int'>
Application#builds [0⋯n]#report#static_analysis#engine_version, <class 'int'>
Application#builds [0⋯n]#report#static_analysis#modules, <class 'veracode.SDK.core.Struct'>
Application#builds [0⋯n]#report#static_analysis#modules#module [0⋯n], <class 'list'>
Application#builds [0⋯n]#report#static_analysis#modules#module [0⋯n]#architecture, <class 'str'>
Application#builds [0⋯n]#report#static_analysis#modules#module [0⋯n]#compiler, <class 'str'>
Application#builds [0⋯n]#report#static_analysis#modules#module [0⋯n]#loc, <class 'int'>
Application#builds [0⋯n]#report#static_analysis#modules#module [0⋯n]#name, <class 'str'>
Application#builds [0⋯n]#report#static_analysis#modules#module [0⋯n]#numflawssev0, <class 'int'>
Application#builds [0⋯n]#report#static_analysis#modules#module [0⋯n]#numflawssev1, <class 'int'>
Application#builds [0⋯n]#report#static_analysis#modules#module [0⋯n]#numflawssev2, <class 'int'>
Application#builds [0⋯n]#report#static_analysis#modules#module [0⋯n]#numflawssev3, <class 'int'>
Application#builds [0⋯n]#report#static_analysis#modules#module [0⋯n]#numflawssev4, <class 'int'>
Application#builds [0⋯n]#report#static_analysis#modules#module [0⋯n]#numflawssev5, <class 'int'>
Application#builds [0⋯n]#report#static_analysis#modules#module [0⋯n]#os, <class 'str'>
Application#builds [0⋯n]#report#static_analysis#modules#module [0⋯n]#score, <class 'int'>
Application#builds [0⋯n]#report#static_analysis#next_scan_due, <class 'datetime.date'>
Application#builds [0⋯n]#report#static_analysis#published_date, <class 'datetime.date'>
Application#builds [0⋯n]#report#static_analysis#rating, <class 'str'>
Application#builds [0⋯n]#report#static_analysis#score, <class 'int'>
Application#builds [0⋯n]#report#static_analysis#submitted_date, <class 'datetime.date'>
Application#builds [0⋯n]#report#static_analysis#version, <class 'str'>
Application#builds [0⋯n]#report#static_analysis_unit_id, <class 'int'>
Application#builds [0⋯n]#report#status_code, <class 'int'>
Application#builds [0⋯n]#report#submitter, <class 'str'>
Application#builds [0⋯n]#report#tags, <class 'str'>
Application#builds [0⋯n]#report#teams, <class 'str'>
Application#builds [0⋯n]#report#total_flaws, <class 'int'>
Application#builds [0⋯n]#report#veracode_level, <class 'str'>
Application#builds [0⋯n]#report#version, <class 'str'>
Application#builds [0⋯n]#results_ready, <class 'bool'>
Application#builds [0⋯n]#scan_overdue, <class 'bool'>
Application#builds [0⋯n]#submitter, <class 'str'>
Application#builds [0⋯n]#version, <class 'str'>
Application#business_criticality, <class 'str'>
Application#business_owner, <class 'NoneType'>
Application#business_owner_email, <class 'NoneType'>
Application#business_unit, <class 'str'>
Application#custom_field_name, <class 'NoneType'>
Application#custom_field_value, <class 'NoneType'>
Application#delete, <class 'method'>
Application#deployment_method, <class 'str'>
Application#id, <class 'int'>
Application#industry, <class 'NoneType'>
Application#info, <class 'veracode.SDK.core.Struct'>
Application#info#app_id, <class 'int'>
Application#info#app_name, <class 'str'>
Application#info#app_type, <class 'str'>
Application#info#business_criticality, <class 'str'>
Application#info#business_unit, <class 'str'>
Application#info#cots, <class 'bool'>
Application#info#customfield [0⋯n], <class 'list'>
Application#info#customfield [0⋯n]#name, <class 'str'>
Application#info#customfield [0⋯n]#value, <class 'str'>
Application#info#deployment_method, <class 'str'>
Application#info#industry_vertical, <class 'str'>
Application#info#is_web_application, <class 'bool'>
Application#info#modified_date, <class 'datetime.date'>
Application#info#origin, <class 'str'>
Application#info#policy, <class 'str'>
Application#info#policy_updated_date, <class 'datetime.date'>
Application#info#tags, <class 'str'>
Application#info#teams, <class 'str'>
Application#info#vast, <class 'bool'>
Application#name, <class 'str'>
Application#next_day_scheduling_enabled, <class 'NoneType'>
Application#origin, <class 'str'>
Application#policy, <class 'str'>
Application#sandbox, <class 'NoneType'>
Application#sandboxes [0⋯n], <class 'list'>
Application#sandboxes [0⋯n]#customfield [0⋯n], <class 'list'>
Application#sandboxes [0⋯n]#customfield [0⋯n]#name, <class 'str'>
Application#sandboxes [0⋯n]#customfield [0⋯n]#value, <class 'str'>
Application#sandboxes [0⋯n]#id, <class 'int'>
Application#sandboxes [0⋯n]#last_modified, <class 'datetime.date'>
Application#sandboxes [0⋯n]#name, <class 'str'>
Application#sandboxes [0⋯n]#owner, <class 'str'>
Application#save, <class 'method'>
Application#tags [0⋯n], <class 'list'>
Application#teams [0⋯n], <class 'list'>
