id,value
Application#build#report#severity [0⋯n]#category#cwe#staticflaws#flaw [0⋯n]#categoryname, <class 'str'>
Application#build#report#severity [0⋯n]#category#cwe#staticflaws#flaw [0⋯n]#cia_impact, <class 'str'>
Application#build#report#severity [0⋯n]#category#cwe#staticflaws#flaw [0⋯n]#count, <class 'int'>
Application#build#report#severity [0⋯n]#category#cwe#staticflaws#flaw [0⋯n]#cweid, <class 'int'>
Application#build#report#severity [0⋯n]#category#cwe#staticflaws#flaw [0⋯n]#date_first_occurrence, <class 'datetime.date'>
Application#build#report#severity [0⋯n]#category#cwe#staticflaws#flaw [0⋯n]#description, <class 'str'>
Application#build#report#severity [0⋯n]#category#cwe#staticflaws#flaw [0⋯n]#exploitLevel, <class 'int'>
Application#build#report#severity [0⋯n]#category#cwe#staticflaws#flaw [0⋯n]#functionprototype, <class 'str'>
Application#build#report#severity [0⋯n]#category#cwe#staticflaws#flaw [0⋯n]#functionrelativelocation, <class 'int'>
Application#build#report#severity [0⋯n]#category#cwe#staticflaws#flaw [0⋯n]#grace_period_expires, <class 'datetime.date'>
Application#build#report#severity [0⋯n]#category#cwe#staticflaws#flaw [0⋯n]#issueid, <class 'int'>
Application#build#report#severity [0⋯n]#category#cwe#staticflaws#flaw [0⋯n]#line, <class 'int'>
Application#build#report#severity [0⋯n]#category#cwe#staticflaws#flaw [0⋯n]#mitigation_status, <class 'str'>
Application#build#report#severity [0⋯n]#category#cwe#staticflaws#flaw [0⋯n]#mitigation_status_desc, <class 'str'>
Application#build#report#severity [0⋯n]#category#cwe#staticflaws#flaw [0⋯n]#module, <class 'str'>
Application#build#report#severity [0⋯n]#category#cwe#staticflaws#flaw [0⋯n]#note, <class 'str'>
Application#build#report#severity [0⋯n]#category#cwe#staticflaws#flaw [0⋯n]#pcirelated, <class 'bool'>
Application#build#report#severity [0⋯n]#category#cwe#staticflaws#flaw [0⋯n]#remediation_status, <class 'str'>
Application#build#report#severity [0⋯n]#category#cwe#staticflaws#flaw [0⋯n]#remediationeffort, <class 'int'>
Application#build#report#severity [0⋯n]#category#cwe#staticflaws#flaw [0⋯n]#scope, <class 'str'>
Application#build#report#severity [0⋯n]#category#cwe#staticflaws#flaw [0⋯n]#severity, <class 'int'>
Application#build#report#severity [0⋯n]#category#cwe#staticflaws#flaw [0⋯n]#sourcefile, <class 'str'>
Application#build#report#severity [0⋯n]#category#cwe#staticflaws#flaw [0⋯n]#sourcefilepath, <class 'str'>
Application#build#report#severity [0⋯n]#category#cwe#staticflaws#flaw [0⋯n]#type, <class 'str'>
Application#build#report#severity [0⋯n]#category#desc, <class 'veracode.SDK.core.Struct'>
Application#build#report#severity [0⋯n]#category#desc#para, <class 'veracode.SDK.core.Struct'>
Application#build#report#severity [0⋯n]#category#desc#para#text, <class 'str'>
Application#build#report#severity [0⋯n]#category#pcirelated, <class 'bool'>
Application#build#report#severity [0⋯n]#category#recommendations, <class 'veracode.SDK.core.Struct'>
Application#build#report#severity [0⋯n]#category#recommendations#para, <class 'veracode.SDK.core.Struct'>
Application#build#report#severity [0⋯n]#category#recommendations#para#bulletitem [0⋯n], <class 'list'>
Application#build#report#severity [0⋯n]#category#recommendations#para#bulletitem [0⋯n]#text, <class 'str'>
Application#build#report#severity [0⋯n]#category#recommendations#para#text, <class 'str'>
Application#build#report#severity [0⋯n]#level, <class 'int'>
Application#build#report#software_composition_analysis, <class 'veracode.SDK.core.Struct'>
Application#build#report#software_composition_analysis#blacklisted_components, <class 'int'>
Application#build#report#software_composition_analysis#components_violated_policy, <class 'int'>
Application#build#report#software_composition_analysis#third_party_components, <class 'int'>
Application#build#report#software_composition_analysis#violate_policy, <class 'bool'>
Application#build#report#software_composition_analysis#vulnerable_components, <class 'veracode.SDK.core.Struct'>
Application#build#report#software_composition_analysis#vulnerable_components#component [0⋯n], <class 'list'>
Application#build#report#software_composition_analysis#vulnerable_components#component [0⋯n]#added_date, <class 'datetime.date'>
Application#build#report#software_composition_analysis#vulnerable_components#component [0⋯n]#component_affects_policy_compliance, <class 'bool'>
Application#build#report#software_composition_analysis#vulnerable_components#component [0⋯n]#component_id, <class 'str'>
Application#build#report#software_composition_analysis#vulnerable_components#component [0⋯n]#description, <class 'str'>
Application#build#report#software_composition_analysis#vulnerable_components#component [0⋯n]#file_name, <class 'str'>
Application#build#report#software_composition_analysis#vulnerable_components#component [0⋯n]#file_paths, <class 'veracode.SDK.core.Struct'>
Application#build#report#software_composition_analysis#vulnerable_components#component [0⋯n]#file_paths#file_path [0⋯n], <class 'list'>
Application#build#report#software_composition_analysis#vulnerable_components#component [0⋯n]#file_paths#file_path [0⋯n]#value, <class 'str'>
Application#build#report#software_composition_analysis#vulnerable_components#component [0⋯n]#library, <class 'str'>
Application#build#report#software_composition_analysis#vulnerable_components#component [0⋯n]#licenses, <class 'veracode.SDK.core.Struct'>
Application#build#report#software_composition_analysis#vulnerable_components#component [0⋯n]#licenses#license [0⋯n], <class 'list'>
Application#build#report#software_composition_analysis#vulnerable_components#component [0⋯n]#licenses#license [0⋯n]#license_url, <class 'str'>
Application#build#report#software_composition_analysis#vulnerable_components#component [0⋯n]#licenses#license [0⋯n]#name, <class 'str'>
Application#build#report#software_composition_analysis#vulnerable_components#component [0⋯n]#licenses#license [0⋯n]#risk_rating, <class 'int'>
Application#build#report#software_composition_analysis#vulnerable_components#component [0⋯n]#licenses#license [0⋯n]#spdx_id, <class 'str'>
Application#build#report#software_composition_analysis#vulnerable_components#component [0⋯n]#max_cvss_score, <class 'str'>
Application#build#report#software_composition_analysis#vulnerable_components#component [0⋯n]#sha1, <class 'str'>
Application#build#report#software_composition_analysis#vulnerable_components#component [0⋯n]#vendor, <class 'str'>
Application#build#report#software_composition_analysis#vulnerable_components#component [0⋯n]#version, <class 'datetime.date'>
Application#build#report#software_composition_analysis#vulnerable_components#component [0⋯n]#violated_policy_rules, <class 'NoneType'>
Application#build#report#software_composition_analysis#vulnerable_components#component [0⋯n]#vulnerabilities [0⋯n], <class 'list'>
Application#build#report#static_analysis, <class 'veracode.SDK.core.Struct'>
Application#build#report#static_analysis#analysis_size_bytes, <class 'int'>
Application#build#report#static_analysis#engine_version, <class 'int'>
Application#build#report#static_analysis#modules, <class 'veracode.SDK.core.Struct'>
Application#build#report#static_analysis#modules#module [0⋯n], <class 'list'>
Application#build#report#static_analysis#modules#module [0⋯n]#architecture, <class 'str'>
Application#build#report#static_analysis#modules#module [0⋯n]#compiler, <class 'str'>
Application#build#report#static_analysis#modules#module [0⋯n]#loc, <class 'int'>
Application#build#report#static_analysis#modules#module [0⋯n]#name, <class 'str'>
Application#build#report#static_analysis#modules#module [0⋯n]#numflawssev0, <class 'int'>
Application#build#report#static_analysis#modules#module [0⋯n]#numflawssev1, <class 'int'>
Application#build#report#static_analysis#modules#module [0⋯n]#numflawssev2, <class 'int'>
Application#build#report#static_analysis#modules#module [0⋯n]#numflawssev3, <class 'int'>
Application#build#report#static_analysis#modules#module [0⋯n]#numflawssev4, <class 'int'>
Application#build#report#static_analysis#modules#module [0⋯n]#numflawssev5, <class 'int'>
Application#build#report#static_analysis#modules#module [0⋯n]#os, <class 'str'>
Application#build#report#static_analysis#modules#module [0⋯n]#score, <class 'int'>
Application#build#report#static_analysis#next_scan_due, <class 'datetime.date'>
Application#build#report#static_analysis#published_date, <class 'datetime.date'>
Application#build#report#static_analysis#rating, <class 'str'>
Application#build#report#static_analysis#score, <class 'int'>
Application#build#report#static_analysis#submitted_date, <class 'datetime.date'>
Application#build#report#static_analysis#version, <class 'str'>
Application#build#report#static_analysis_unit_id, <class 'int'>
Application#build#report#status_code, <class 'int'>
Application#build#report#submitter, <class 'str'>
Application#build#report#tags, <class 'str'>
Application#build#report#teams, <class 'str'>
Application#build#report#total_flaws, <class 'int'>
Application#build#report#veracode_level, <class 'str'>
Application#build#report#version, <class 'str'>
Application#build#results_ready, <class 'bool'>
Application#build#scan_overdue, <class 'bool'>
Application#build#submitter, <class 'str'>
Application#build#version, <class 'str'>
Application#builds [0⋯n], <class 'list'>
Application#builds [0⋯n]#analysis, <class 'veracode.build.Analysis'>
Application#builds [0⋯n]#analysis#engine_version, <class 'int'>
Application#builds [0⋯n]#analysis#published_date, <class 'datetime.date'>
Application#builds [0⋯n]#analysis#status, <class 'str'>
Application#builds [0⋯n]#analysis#type, <class 'str'>
Application#builds [0⋯n]#app_id, <class 'int'>
Application#builds [0⋯n]#grace_period_expired, <class 'bool'>
Application#builds [0⋯n]#id, <class 'int'>
Application#builds [0⋯n]#legacy_scan_engine, <class 'bool'>
Application#builds [0⋯n]#lifecycle_stage, <class 'str'>
Application#builds [0⋯n]#platform, <class 'str'>
Application#builds [0⋯n]#policy, <class 'veracode.build.Policy'>
Application#builds [0⋯n]#policy#compliance, <class 'str'>
Application#builds [0⋯n]#policy#name, <class 'str'>
Application#builds [0⋯n]#policy#updated_date, <class 'datetime.date'>
Application#builds [0⋯n]#policy#version, <class 'int'>
Application#builds [0⋯n]#report, <class 'veracode.build.Report'>
Application#builds [0⋯n]#report#account_id, <class 'int'>
Application#builds [0⋯n]#report#analysis_id, <class 'int'>
Application#builds [0⋯n]#report#app_id, <class 'int'>
Application#builds [0⋯n]#report#app_name, <class 'str'>
Application#builds [0⋯n]#report#assurance_level, <class 'int'>
Application#builds [0⋯n]#report#build_id, <class 'int'>
Application#builds [0⋯n]#report#business_criticality, <class 'int'>
Application#builds [0⋯n]#report#business_owner, <class 'str'>
